gdp_2018_wb,dest_iso_code,dest_country,vol_kg,val_usd,vol_kg_recon,val_usd_recon,ene_tj_recon,co2_t_recon,ets_23_usd_recon,ets_30_usd_recon,bau_usd_23_recon,bau_usd_30_recon,bau_usd_40_recon,bau_usd_50_recon,s24_usd_23_recon,s24_usd_30_recon,s24_usd_40_recon,s24_usd_50_recon,pct_vol_recon,pct_val_recon,ets_23_pct_gdp,ets_30_pct_gdp,s24_usd_23_recon_del,s24_usd_30_recon_del,s24_usd_40_recon_del,s24_usd_50_recon_del,bau_23_pct_gdp,bau_30_pct_gdp,bau_40_pct_gdp,bau_50_pct_gdp,s24_23_pct_gdp,s24_30_pct_gdp,s24_40_pct_gdp,s24_50_pct_gdp,s24_del_23_pct_gdp,s24_del_30_pct_gdp,s24_del_40_pct_gdp,s24_del_50_pct_gdp
1563887900.0,626,Timor-Leste,246750405.48,55534566.30600001,246750405.48,55534566.30600001,52.00811896248789,3976.2783411298237,0.0,0.0,3752293.594240789,3731696.5642199004,3400219.656443267,3305424.3519866155,3752293.594240789,4203791.778381061,4819819.2527933465,5023630.670795493,100.0,100.0,0.0,0.0,0.0,472095.2141611604,1419599.5963500794,1718206.3188088774,0.23993,0.23862,0.21742,0.21136,0.23993,0.2688,0.30819,0.32123,0.0,0.03019,0.09077,0.10987
183334953818.681,634,Qatar,2873759002.399,1556030878.738,2873759002.399,1556030878.738,384.4263349471293,29651.012226200546,0.0,72380.30349235317,18860203.582159307,18289408.70758721,16421782.972189717,15916501.189507145,18860203.582159307,20592340.71030638,25288244.567497484,26720299.290967647,100.0,100.0,0.0,4e-05,0.0,2302932.0027191713,8866461.595307767,10803798.101460502,0.01029,0.00998,0.00896,0.00868,0.01029,0.01123,0.01379,0.01457,0.0,0.00126,0.00484,0.00589
243316050520.725,642,Romania,24057611984.776,16454594964.326,24057611984.776,16454594964.326,3471.0895090268305,266230.12819409464,0.0,52537269.800546795,125633203.92097954,122352172.88097422,108453120.06365725,105953154.96586485,125633203.92097954,139285981.7896096,166342337.21839687,176403128.32038617,100.0,100.0,0.0,0.02159,0.0,16933808.908635393,57889217.15473962,70449973.35452132,0.05163,0.05029,0.04457,0.04355,0.05163,0.05724,0.06836,0.0725,0.0,0.00696,0.02379,0.02895
1657328764645.93,643,Russian Federation,45676374376.839,81045820905.74901,45676374376.839005,81045820905.74901,8388.53820680923,639146.516334267,0.0,113256949.40655138,287632779.4298367,272908528.73687375,250303063.37839803,243545212.42194638,287632779.4298367,318021550.5343591,403664435.1567362,426008064.7557617,100.0,100.0,0.0,0.00683,0.0,45113021.79748535,153361371.77833816,182462852.3338153,0.01736,0.01647,0.0151,0.0147,0.01736,0.01919,0.02436,0.0257,0.0,0.00272,0.00925,0.01101
9636510839.30707,646,Rwanda,832493116.341,600422073.3330001,832493116.341,600422073.3330001,194.5237986947269,15013.30897546222,0.0,229719.56875521236,8195175.460555814,8058207.920905815,7013933.492967872,6847608.156537386,8195175.460555814,8962215.64776719,10962265.882892579,11618760.358609265,100.0,100.0,0.0,0.00238,0.0,904007.7268613745,3948332.389924707,4771152.202071879,0.08504,0.08362,0.07278,0.07106,0.08504,0.093,0.11376,0.12057,0.0,0.00938,0.04097,0.04951
1076922222.22222,659,Saint Kitts and Nevis,42956323.552,136998504.292,42956323.552,136998504.292,11.29725939350129,871.4766472205869,0.0,40.57684922098145,456386.6098961234,422601.1619036577,417156.24516443367,416607.68779227324,456386.6098961234,522183.2563849651,678902.4610202168,712477.909663858,100.0,100.0,0.0,0.0,0.0,99582.09448130737,261746.21585578314,295870.22187158477,0.04238,0.03924,0.03874,0.03869,0.04238,0.04849,0.06304,0.06616,0.0,0.00925,0.02431,0.02747
2057074074.07407,662,Saint Lucia,193612625.176,364234420.353,193612625.176,364234420.353,70.16909039171831,5357.506417086635,0.0,0.0,3447200.140441649,3203236.945193381,3120408.262525636,3103782.752377689,3447200.140441649,3886384.029332493,5039145.6309307255,5300160.559767045,100.0,100.0,0.0,0.0,0.0,683147.0841391119,1918737.3684050897,2196377.807389356,0.16758,0.15572,0.15169,0.15088,0.16758,0.18893,0.24497,0.25766,0.0,0.03321,0.09328,0.10677
884328180.526933,670,Saint Vincent and the Grenadines,89050402.484,66242947.516,89050402.484,66242947.516,5.80746177645321,442.48011699552933,0.0,0.0,174117.44624411908,166467.9134191752,159324.72088064044,155798.71294656312,174117.44624411908,190111.10696982834,240540.49855899593,255521.30139347096,100.0,100.0,0.0,0.0,0.0,23643.193550653144,81215.77767835549,99722.58844690784,0.01969,0.01882,0.01802,0.01762,0.01969,0.0215,0.0272,0.02889,0.0,0.00267,0.00918,0.01128
846583785179.856,682,Saudi Arabia,26727522499.779,29778958527.697,26727522499.779,29778958527.697,7093.640189234728,548479.1673462511,0.0,15591989.075555589,270973692.2558183,264912844.3845295,232297994.83326077,222662884.32116508,270973692.2558183,299353771.4719876,367534558.4177687,384175269.8358395,100.0,100.0,0.0,0.00184,0.0,34440927.087458104,135236563.58450794,161512385.51467443,0.03201,0.03129,0.02744,0.0263,0.03201,0.03536,0.04341,0.04538,0.0,0.00407,0.01597,0.01908
23116701539.5646,686,Senegal,5198906332.547,2680135426.0,5198906332.547,2680135426.0,1547.7411496680552,119394.83349971131,0.0,6788399.065443813,67562063.848192,66603101.90022138,57694442.55264921,56819041.72172987,67562063.848192,74322000.30838491,89737484.95584987,95940254.41454819,100.0,100.0,0.0,0.02937,0.0,7718898.408163533,32043042.403200664,39121212.69281832,0.29227,0.28812,0.24958,0.24579,0.29227,0.32151,0.38819,0.41503,0.0,0.03339,0.13861,0.16923
